task,scenario,video_uid,video_category,sample_id,distractor_task,distractor_sample_id,dialogue,question,options,correct_answer,start_sec,end_sec
MIntRec,text_grounded,c9d4550d-76d9-47f7-b1e4-916cbef743e5,Cooking,mintred_0000,QaEgo4D,7e293c42-92ce-4d76-b582-dbb1db37574d_3,"[{""speaker"": ""Speaker 1"", ""text"": ""Have you seen these new slushie drinks in the cooler? They look like something kids would love.""}, {""speaker"": ""Speaker 2"", ""text"": ""Yeah, the colorful ones in those big pouches? Super tempting.""}, {""speaker"": ""Speaker 1"", ""text"": ""But why are they behind the counter with the booze? Are they alcoholic?""}, {""speaker"": ""Speaker 2"", ""text"": ""apparently, teens are drinking the slushie stuff inside of these for the alcohol.""}]",What is the intent of the last utterance in the dialogue? (A) Advise (B) Inform (C) Arrange (D) Prevent,"{""A"": ""Advise"", ""B"": ""Inform"", ""C"": ""Arrange"", ""D"": ""Prevent""}",B,,
MIntRec,text_grounded,57ab94d1-56d2-4227-b099-7388d4cefcbf,Cooking,mintred_0001,QaEgo4D,15af921d-3ea4-45ad-9c5d-e8b2599615d8_1,"[{""speaker"": ""Speaker 1"", ""text"": ""Excuse me, I'd like to speak to the manager about this issue with my order.""}, {""speaker"": ""Speaker 2"", ""text"": ""Hi there, what's going on with the order?""}, {""speaker"": ""Speaker 1"", ""text"": ""It's completely wrong, and your staff wouldn't help me.""}, {""speaker"": ""Speaker 2"", ""text"": ""I apologize for that. Let me check the details for you.""}, {""speaker"": ""Speaker 1"", ""text"": ""No, I need the actual manager, please.""}, {""speaker"": ""Speaker 2"", ""text"": ""we are the manager.""}]",What is the intent of the last utterance in the dialogue? (A) Introduce (B) Prevent (C) Inform (D) Arrange,"{""A"": ""Introduce"", ""B"": ""Prevent"", ""C"": ""Inform"", ""D"": ""Arrange""}",A,,
MIntRec,text_grounded,a5259841-c497-495d-ac9b-59cd5c234f73,Cleaning / laundry,mintred_0002,QaEgo4D,a1f72a84-9a05-459a-a971-eed57a8c67f5_6,"[{""speaker"": ""Speaker 1"", ""text"": ""Man, you complain about those spam calls every day. Why don't you just change your phone number?""}, {""speaker"": ""Speaker 2"", ""text"": ""Change it? Nah, too much hassle.""}, {""speaker"": ""Speaker 1"", ""text"": ""Come on, it's super easy these days. Just do it.""}, {""speaker"": ""Speaker 2"", ""text"": ""Eh, if i did, i'd have to change it on my debit card too.""}]",What is the intent of the last utterance in the dialogue? (A) Leave (B) Greet (C) Inform (D) Ask for help,"{""A"": ""Leave"", ""B"": ""Greet"", ""C"": ""Inform"", ""D"": ""Ask for help""}",A,,
MIntRec,text_grounded,4895e45c-3e06-4344-ac2f-3b34f4881485,"jobs related to construction/renovation company
(Director of work, tiler, plumber, Electrician, Handyman, etc)",mintred_0003,QaEgo4D,3de7e4d6-a1dd-4353-bbf5-c412db11ac85_16,"[{""speaker"": ""Speaker 1"", ""text"": ""Man, I've been thinking about that empty storefront downtown. It's got so much potential.""}, {""speaker"": ""Speaker 2"", ""text"": ""Yeah? What kind of business you imagining for a spot like that?""}, {""speaker"": ""Speaker 1"", ""text"": ""Something we talked about before, but never pulled the trigger on.""}, {""speaker"": ""Speaker 2"", ""text"": ""Refresh my memory—which one?""}, {""speaker"": ""Speaker 1"", ""text"": ""it's the business that we were gonna start.""}]",What is the intent of the last utterance in the dialogue? (A) Greet (B) Prevent (C) Comfort (D) Introduce,"{""A"": ""Greet"", ""B"": ""Prevent"", ""C"": ""Comfort"", ""D"": ""Introduce""}",D,,
MIntRec,text_grounded,b21c02b1-0ac9-4739-8524-f7b061d92777,Cooking,mintred_0004,QaEgo4D,43f6f6b3-40ec-4258-9b5c-824c4a9ae877_5,"[{""speaker"": ""Speaker 1"", ""text"": ""Hey, have you been following the stock market lately? Anything catching your eye?""}, {""speaker"": ""Speaker 2"", ""text"": ""A little. Tech seems hot right now.""}, {""speaker"": ""Speaker 1"", ""text"": ""Yeah, especially with all these drone deliveries and military tech news.""}, {""speaker"": ""Speaker 2"", ""text"": ""Drones are everywhere these days.""}, {""speaker"": ""Speaker 1"", ""text"": ""You thinking of investing in any?""}, {""speaker"": ""Speaker 2"", ""text"": ""i actually just bought some stock in a drone company.""}]",What is the intent of the last utterance in the dialogue? (A) Leave (B) Inform (C) Advise (D) Greet,"{""A"": ""Leave"", ""B"": ""Inform"", ""C"": ""Advise"", ""D"": ""Greet""}",B,,
MIntRec,text_grounded,f3c51a17-e771-45dd-bc13-f2de5c903f69,Cleaning / laundry,mintred_0005,QaEgo4D,c6ae38ff-3fd5-4bc8-ac93-8091215e2d79_9,"[{""speaker"": ""Speaker 1"", ""text"": ""Alright, Heather, sales were slow in housewares yesterday, but we need coverage everywhere today.""}, {""speaker"": ""Speaker 2"", ""text"": ""Yeah, I noticed. Where do you want me?""}, {""speaker"": ""Speaker 1"", ""text"": ""Electronics is slammed with the new shipment, and clothing's got it handled.""}, {""speaker"": ""Speaker 2"", ""text"": ""So not there then?""}, {""speaker"": ""Speaker 1"", ""text"": ""Heather, you're in housewares.""}]",What is the intent of the last utterance in the dialogue? (A) Advise (B) Prevent (C) Arrange (D) Introduce,"{""A"": ""Advise"", ""B"": ""Prevent"", ""C"": ""Arrange"", ""D"": ""Introduce""}",C,,
MIntRec,text_grounded,37d6465a-e887-4bad-8f33-235d2ec81bc7,Car mechanic,mintred_0006,QaEgo4D,87b8b176-4878-4c9d-aea6-eae9a1b9d37a_2,"[{""speaker"": ""Speaker 1"", ""text"": ""I can't believe the tickets sold out already. We were gonna have such a great night.""}, {""speaker"": ""Speaker 2"", ""text"": ""Ugh, I'm so sorry. I should've checked sooner and grabbed them for us.""}, {""speaker"": ""Speaker 1"", ""text"": ""It's fine, really. Don't beat yourself up.""}, {""speaker"": ""Speaker 2"", ""text"": ""No, I feel awful. You were looking forward to it.""}, {""speaker"": ""Speaker 1"", ""text"": ""oh, okay. no worries.""}]",What is the intent of the last utterance in the dialogue? (A) Advise (B) Comfort (C) Introduce (D) Inform,"{""A"": ""Advise"", ""B"": ""Comfort"", ""C"": ""Introduce"", ""D"": ""Inform""}",B,,
MIntRec,text_grounded,a5fbdb00-de6c-4a16-8c46-32a6333a4865,Cleaning / laundry; Eating; Making coffee; Watching tv,mintred_0007,QaEgo4D,9ee307ae-3448-49f0-a001-0264e94b6529_4,"[{""speaker"": ""Speaker 1"", ""text"": ""This market is packed today.""}, {""speaker"": ""Speaker 2"", ""text"": ""No kidding. I can barely move.""}, {""speaker"": ""Speaker 1"", ""text"": ""Hey, isn't that Jess by the fruit stand?""}, {""speaker"": ""Speaker 2"", ""text"": ""Jess? I don't see her.""}, {""speaker"": ""Speaker 1"", ""text"": ""hey!""}]",What is the intent of the last utterance in the dialogue? (A) Introduce (B) Greet (C) Leave (D) Inform,"{""A"": ""Introduce"", ""B"": ""Greet"", ""C"": ""Leave"", ""D"": ""Inform""}",B,,
MIntRec,text_grounded,0e6fb738-05fc-4dd5-9746-a8e10efe8c20,Cooking,mintred_0008,QaEgo4D,b0b5ae2e-757f-4f15-b48a-d3ac1b828800_20,"[{""speaker"": ""Speaker 1"", ""text"": ""Hey Denise, good to see you!""}, {""speaker"": ""Speaker 2"", ""text"": ""You too! Been a while.""}, {""speaker"": ""Speaker 1"", ""text"": ""Yeah, I was just out grabbing coffee and bumped into some people I know.""}, {""speaker"": ""Speaker 2"", ""text"": ""Nice, who are they? Introduce us!""}, {""speaker"": ""Speaker 1"", ""text"": ""hey, denise, these are friends of mine""}]",What is the intent of the last utterance in the dialogue? (A) Greet (B) Leave (C) Introduce (D) Prevent,"{""A"": ""Greet"", ""B"": ""Leave"", ""C"": ""Introduce"", ""D"": ""Prevent""}",C,,
MIntRec,text_grounded,9ae0a813-9874-45a9-bdea-3add693f7937,Indoor Navigation (walking); Walking the dog / pet,mintred_0009,EgoPlan-Bench2,9ae0a813-9874-45a9-bdea-3add693f7937_1,"[{""speaker"": ""Speaker 1"", ""text"": ""Excuse me, I need to speak with the store manager right away.""}, {""speaker"": ""Speaker 2"", ""text"": ""What's the issue? Maybe I can help.""}, {""speaker"": ""Speaker 1"", ""text"": ""No, it's serious. The cashier overcharged me and was rude about it.""}, {""speaker"": ""Speaker 2"", ""text"": ""I see. Let me handle this.""}, {""speaker"": ""Speaker 2"", ""text"": ""Hi, i'm amy sosa, store manager.""}]",What is the intent of the last utterance in the dialogue? (A) Prevent (B) Advise (C) Introduce (D) Inform,"{""A"": ""Prevent"", ""B"": ""Advise"", ""C"": ""Introduce"", ""D"": ""Inform""}",C,,
MIntRec,text_grounded,18a3840b-7463-43c4-9aa9-b1d8e486fa84,Carpenter,mintred_0010,QaEgo4D,f5f878e3-60dd-4ee1-8080-a11774ba3294_2,"[{""speaker"": ""Speaker 1"", ""text"": ""I can't believe you just said that about my cooking. It's always the same criticism!""}, {""speaker"": ""Speaker 2"", ""text"": ""What? It's true, it's bland every time. I'm just being honest.""}, {""speaker"": ""Speaker 1"", ""text"": ""Honest? You're just trying to make me feel bad in front of everyone!""}, {""speaker"": ""Speaker 2"", ""text"": ""Whoa, calm down. This is supposed to be a fun dinner, not a fight.""}, {""speaker"": ""Speaker 1"", ""text"": ""okay, all right, new rule: no one can be mad about whatever was said in this room, okay?""}]",What is the intent of the last utterance in the dialogue? (A) Comfort (B) Advise (C) Greet (D) Inform,"{""A"": ""Comfort"", ""B"": ""Advise"", ""C"": ""Greet"", ""D"": ""Inform""}",D,,
MIntRec,text_grounded,77baffbe-c2a9-435a-8183-5783bbc4fbba,Playing cards,mintred_0011,EgoPlan-Bench2,77baffbe-c2a9-435a-8183-5783bbc4fbba_11,"[{""speaker"": ""Speaker 1"", ""text"": ""Myrtle's been talking about her nephew visiting for weeks now.""}, {""speaker"": ""Speaker 2"", ""text"": ""Yeah, she said he's driving in from out of town today.""}, {""speaker"": ""Speaker 1"", ""text"": ""Wonder if he's as chatty as she is.""}, {""speaker"": ""Speaker 2"", ""text"": ""Probably. Any sign of him yet?""}, {""speaker"": ""Speaker 1"", ""text"": ""hey, guys, myrtle's nephew just came in""}]",What is the intent of the last utterance in the dialogue? (A) Inform (B) Arrange (C) Prevent (D) Introduce,"{""A"": ""Inform"", ""B"": ""Arrange"", ""C"": ""Prevent"", ""D"": ""Introduce""}",A,,
MIntRec,text_grounded,6caf467a-a949-4b5c-b88b-b2ac6cbd9f36,Cleaning / laundry; Doing yardwork / shoveling snow; Gardening; Indoor Navigation (walking); Playing games / video games; Playing with pets; Talking with family members,mintred_0012,QaEgo4D,6c83627a-807b-49ef-a0ab-d501d965f791_5,"[{""speaker"": ""Speaker 1"", ""text"": ""We're throwing this epic party tomorrow, but I don't want people crashing early like last time.""}, {""speaker"": ""Speaker 2"", ""text"": ""Yeah, we need something to keep the energy pumping all night.""}, {""speaker"": ""Speaker 1"", ""text"": ""More coffee stations? Or maybe just stick with beer?""}, {""speaker"": ""Speaker 2"", ""text"": ""Beer won't cut it for stamina. Oh, we could get, like, a red bull fountain.""}]",What is the intent of the last utterance in the dialogue? (A) Advise (B) Arrange (C) Prevent (D) Leave,"{""A"": ""Advise"", ""B"": ""Arrange"", ""C"": ""Prevent"", ""D"": ""Leave""}",A,,
MIntRec,text_grounded,5f2fe227-e8fc-4635-8b3e-2f56e9be61b5,Bike mechanic,mintred_0013,QaEgo4D,c4cadb82-60d3-43d3-aded-982db2d30dbd_0,"[{""speaker"": ""Speaker 1"", ""text"": ""Heads up, I just spotted two unmarked cars pulling up outside the safehouse.""}, {""speaker"": ""Speaker 2"", ""text"": ""How close are they getting?""}, {""speaker"": ""Speaker 1"", ""text"": ""They're out and scanning the perimeter—definitely not friendlies.""}, {""speaker"": ""Speaker 2"", ""text"": ""Alright, we need to lock it down now. Sandra, code cottontail.""}]",What is the intent of the last utterance in the dialogue? (A) Comfort (B) Introduce (C) Inform (D) Greet,"{""A"": ""Comfort"", ""B"": ""Introduce"", ""C"": ""Inform"", ""D"": ""Greet""}",C,,
MIntRec,text_grounded,05a6d5f7-e1d5-4af3-9ae8-f07d0ac12657,Bus; Eating; Grocery shopping indoors; Indoor Navigation (walking); Talking on the phone; Walking on street,mintred_0014,QaEgo4D,63c11ce8-473d-4997-8e87-6050d2300288_4,"[{""speaker"": ""Speaker 1"", ""text"": ""Hey Mateo, that guy over there fixed our flat tire super quick without charging extra.""}, {""speaker"": ""Speaker 2"", ""text"": ""Yeah, he's awesome. We were gonna tip him with that gift card, right?""}, {""speaker"": ""Speaker 1"", ""text"": ""Exactly, it's the least we can do. He's still packing up his tools.""}, {""speaker"": ""Speaker 2"", ""text"": ""Got it right here in my wallet.""}, {""speaker"": ""Speaker 1"", ""text"": ""mateo, give him the gift card.""}]",What is the intent of the last utterance in the dialogue? (A) Inform (B) Arrange (C) Prevent (D) Greet,"{""A"": ""Inform"", ""B"": ""Arrange"", ""C"": ""Prevent"", ""D"": ""Greet""}",B,,
MIntRec,text_grounded,083b7556-9dff-40e2-9fad-bef3f82dbf37,Camp setup/pack-up/chores,mintred_0015,QaEgo4D,1d6fbe96-c609-49e9-a181-72c8c8bee4af_0,"[{""speaker"": ""Speaker 1"", ""text"": ""Hey, I just picked up some new scented candles from that boutique downtown. Want to check them out?""}, {""speaker"": ""Speaker 2"", ""text"": ""Sure, they look cool. What's the first one?""}, {""speaker"": ""Speaker 1"", ""text"": ""Okay, this one's supposed to be cinnamon apple. Smell it.""}, {""speaker"": ""Speaker 2"", ""text"": ""Mmm, yeah, that's cozy. Now what's next?""}, {""speaker"": ""Speaker 1"", ""text"": ""this one smells like peanut butter.""}]",What is the intent of the last utterance in the dialogue? (A) Greet (B) Introduce (C) Inform (D) Arrange,"{""A"": ""Greet"", ""B"": ""Introduce"", ""C"": ""Inform"", ""D"": ""Arrange""}",B,,
MIntRec,text_grounded,090c6bc0-49da-4d3b-b209-a1a60aeb0317,Cooking,mintred_0016,QaEgo4D,eb1a2cb4-7063-4a92-ad2b-a222fda18955_4,"[{""speaker"": ""Speaker 1"", ""text"": ""Hey, I'm in this huge store and totally lost trying to find the cereal aisle. Any tips?""}, {""speaker"": ""Speaker 2"", ""text"": ""Yeah, download the store app—it makes shopping way easier.""}, {""speaker"": ""Speaker 1"", ""text"": ""Okay, got it. What can it do exactly?""}, {""speaker"": ""Speaker 2"", ""text"": ""It shows real-time aisle numbers and stock levels for everything.""}, {""speaker"": ""Speaker 1"", ""text"": ""Nice, anything else helpful?""}, {""speaker"": ""Speaker 2"", ""text"": ""also there's a product locator, an inventory map""}]",What is the intent of the last utterance in the dialogue? (A) Comfort (B) Prevent (C) Ask for help (D) Inform,"{""A"": ""Comfort"", ""B"": ""Prevent"", ""C"": ""Ask for help"", ""D"": ""Inform""}",D,,
MIntRec,text_grounded,26e6aabd-19a8-48ac-a240-2d1895a1a1fd,"jobs related to construction/renovation company
(Director of work, tiler, plumber, Electrician, Handyman, etc)",mintred_0017,EgoPlan-Bench2,26e6aabd-19a8-48ac-a240-2d1895a1a1fd_24,"[{""speaker"": ""Speaker 1"", ""text"": ""Hey, you excited for the show tonight?""}, {""speaker"": ""Speaker 2"", ""text"": ""Yeah, but I heard there might be a special guest. Any idea who?""}, {""speaker"": ""Speaker 1"", ""text"": ""Not yet, they've been keeping it secret.""}, {""speaker"": ""Speaker 2"", ""text"": ""Come on, spill it. I hate surprises.""}, {""speaker"": ""Speaker 1"", ""text"": ""kira moon from zephra will be surprising us""}]",What is the intent of the last utterance in the dialogue? (A) Introduce (B) Inform (C) Arrange (D) Ask for help,"{""A"": ""Introduce"", ""B"": ""Inform"", ""C"": ""Arrange"", ""D"": ""Ask for help""}",B,,
MIntRec,text_grounded,968139e2-987e-4615-a2d4-fa2e683bae8a,Cleaning / laundry,mintred_0018,QaEgo4D,908076bc-f2cb-4799-80cb-4d7877edd82d_6,"[{""speaker"": ""Speaker 1"", ""text"": ""Whoa, sorry! Didn't see you coming.""}, {""speaker"": ""Speaker 2"", ""text"": ""It's cool, my bad too.""}, {""speaker"": ""Speaker 1"", ""text"": ""These sidewalks are way too narrow.""}, {""speaker"": ""Speaker 2"", ""text"": ""Yeah, total chaos out here.""}, {""speaker"": ""Speaker 1"", ""text"": ""oh, hey, glenn.""}]",What is the intent of the last utterance in the dialogue? (A) Comfort (B) Greet (C) Prevent (D) Introduce,"{""A"": ""Comfort"", ""B"": ""Greet"", ""C"": ""Prevent"", ""D"": ""Introduce""}",B,,
MIntRec,text_grounded,652f0590-aab5-4de1-b578-238adb54fa0e,"BasketBall; Car - commuting, road trip; Going to the gym - exercise machine, class, weights",mintred_0019,QaEgo4D,9193a3a0-15fc-4385-a0f2-564bce9870d5_2,"[{""speaker"": ""Speaker 1"", ""text"": ""Alright, let's get these endcaps sorted before the morning rush.""}, {""speaker"": ""Speaker 2"", ""text"": ""Glenn's up on the ladder with the new signage, and Sandra's filling in the stock below.""}, {""speaker"": ""Speaker 1"", ""text"": ""How's it shaping up? That big banner looks off-center.""}, {""speaker"": ""Speaker 2"", ""text"": ""Yeah, it's crooked, but Sandra's got her side looking sharp already.""}, {""speaker"": ""Speaker 1"", ""text"": ""glenn, take this down. sandra, keep going.""}]",What is the intent of the last utterance in the dialogue? (A) Inform (B) Greet (C) Arrange (D) Ask for help,"{""A"": ""Inform"", ""B"": ""Greet"", ""C"": ""Arrange"", ""D"": ""Ask for help""}",C,,
MIntRec,text_grounded,39208fca-0c54-48e9-b4f3-b4803bb67661,biology experiments; Eating; Indoor Navigation (walking); Labwork; Listening to music; On a screen (phone/laptop); Talking to colleagues,mintred_0020,EgoPlan-Bench2,39208fca-0c54-48e9-b4f3-b4803bb67661_298,"[{""speaker"": ""Speaker 1"", ""text"": ""Alright class, pass up your workbooks so I can check your progress.""}, {""speaker"": ""Speaker 2"", ""text"": ""Uh, mine's kind of messed up. I got mad and ripped a few pages yesterday.""}, {""speaker"": ""Speaker 1"", ""text"": ""You ripped it? Why would you do that?""}, {""speaker"": ""Speaker 2"", ""text"": ""The exercises were impossible, and I just lost it.""}, {""speaker"": ""Speaker 1"", ""text"": ""anyone who ripped up their workbook has failed.""}]",What is the intent of the last utterance in the dialogue? (A) Greet (B) Advise (C) Leave (D) Inform,"{""A"": ""Greet"", ""B"": ""Advise"", ""C"": ""Leave"", ""D"": ""Inform""}",D,,
MIntRec,text_grounded,0971527a-6cd3-4c82-9d94-09b3565f4505,"jobs related to construction/renovation company
(Director of work, tiler, plumber, Electrician, Handyman, etc)",mintred_0021,QaEgo4D,c3e465af-6e74-4309-aa04-8bb923ea85e0_3,"[{""speaker"": ""Speaker 1"", ""text"": ""We've handled the first part of the shipment today, but the rest arrives tomorrow.""}, {""speaker"": ""Speaker 2"", ""text"": ""Sounds busy. How can I help?""}, {""speaker"": ""Speaker 1"", ""text"": ""I need you on unloading duty first thing in the morning.""}, {""speaker"": ""Speaker 2"", ""text"": ""Got it. Anyone else pitching in?""}, {""speaker"": ""Speaker 1"", ""text"": ""Um, and Jonah and Justine, you get to help out tomorrow when the rest of the shipment comes in.""}]",What is the intent of the last utterance in the dialogue? (A) Arrange (B) Ask for help (C) Inform (D) Leave,"{""A"": ""Arrange"", ""B"": ""Ask for help"", ""C"": ""Inform"", ""D"": ""Leave""}",A,,
MIntRec,text_grounded,bbd117a9-e969-4e15-9840-70101a864dd5,Cooking,mintred_0022,QaEgo4D,4007133b-f3e1-412c-81fd-4f3a55f86527_7,"[{""speaker"": ""Speaker 1"", ""text"": ""I can't believe he cheated on me. I'm going to slash his tires tonight.""}, {""speaker"": ""Speaker 2"", ""text"": ""Whoa, calm down, that's a bad idea.""}, {""speaker"": ""Speaker 1"", ""text"": ""No, he deserves it. It'll teach him a real lesson.""}, {""speaker"": ""Speaker 2"", ""text"": ""that's crazy. you can't do that.""}]",What is the intent of the last utterance in the dialogue? (A) Arrange (B) Inform (C) Leave (D) Prevent,"{""A"": ""Arrange"", ""B"": ""Inform"", ""C"": ""Leave"", ""D"": ""Prevent""}",D,,
