sample_id,video_uid,video_category,scenario,task,dialogue,question,options,correct_answer,source
93a0d455-ec59-4c8b-a274-02ed1ba34a4e_11,5ead8e7c-2600-44b1-afd6-b82cb5f7b9ce,Baseball; Going to the park,contradictory,QaEgo4D,"[{""speaker"": ""Camera Wearer"", ""text"": ""Did you see that? The guy in the blue shirt ran after the ball and made a perfect throw back to the guy who first tossed it.""}, {""speaker"": ""Other"", ""text"": ""Yeah, and then he high-fived the original thrower—what a great play! The one in blue really saved it.""}]",What color shirt did the person running wear?,"{""A"": ""red"", ""B"": ""blue"", ""C"": ""green"", ""D"": ""black""}",D,round1
8cb5d092-909c-40e6-ac14-074eeb059a73_13,8cb5d092-909c-40e6-ac14-074eeb059a73,"jobs related to construction/renovation company
(Director of work, tiler, plumber, Electrician, Handyman, etc)",multimodal_grounded,EgoPlan-Bench2,"[{""speaker"": ""Camera Wearer"", ""text"": ""The measurements are all marked out. I'm ready to get the timber onto the stand.""}, {""speaker"": ""Other"", ""text"": ""Wait, you should definitely put on those heavy-duty gloves before you handle that rough wood.""}, {""speaker"": ""Camera Wearer"", ""text"": ""True, I don't want any splinters while I'm moving it into place.""}, {""speaker"": ""Other"", ""text"": ""Safety first. And remember, never try to adjust the circular saw settings while the wood is in motion.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Understood. I'm reaching for it now.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to cut wood?","{""A"": ""move the bucket while wearing heavy-duty gloves"", ""B"": ""pick up wood while wearing heavy-duty gloves"", ""C"": ""pick up wood with bare hands"", ""D"": ""adjust the circular saw settings while the wood is in motion""}",B,round1
0bc430bc-b151-49dc-ac9c-49e819722062_5,68a03b86-201f-4935-9847-f2753905f298,Grocery shopping indoors,multimodal_grounded,QaEgo4D,"[{""speaker"": ""Other"", ""text"": ""Hey, can you hold this for me for a second? I need to grab my wallet.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Sure, no problem. I'll just set it on the counter here.""}, {""speaker"": ""Other"", ""text"": ""Perfect, thank you. Ah, here it is. I thought I'd lost it for a moment.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Glad you found it. Is that everything?""}]",What item is being held for the person who needs to find their wallet?,"{""A"": ""A purse"", ""B"": ""A shopping basket"", ""C"": ""A jacket"", ""D"": ""A mobile phone""}",B,round1
3862f77a-1e10-446c-bcc2-aba7f2e67036_11,3862f77a-1e10-446c-bcc2-aba7f2e67036,"jobs related to construction/renovation company
(Director of work, tiler, plumber, Electrician, Handyman, etc)",contradictory,EgoPlan-Bench2,"[{""speaker"": ""Other"", ""text"": ""How is the coverage looking? It seems like the roller might be getting a bit dry.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Actually, I'm using one of those new internal-feed rollers. I don't need to dip it back into the paint can at all.""}, {""speaker"": ""Other"", ""text"": ""Are you sure? It looks like a standard manual roller from here, and the paint is looking thin.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Positive. I just need to stop and tighten the pressure valve on the handle to increase the flow from the stick into the brush.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to paint the wall with a roller paint brush?","{""A"": ""Tighten the pressure valve"", ""B"": ""Refill the handle reservoir"", ""C"": ""Put roller brush in paint can"", ""D"": ""Check the internal feed tube""}",C,round1
41709182-3a27-4e6b-b7f9-f99b4fa07647_0,b0f8ab26-96ea-4c96-8371-922fe32a9115,Bike mechanic,multimodal_grounded,QaEgo4D,"[{""speaker"": ""Other"", ""text"": ""Are you almost done with that? You've been at it for a bit.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Almost. I just want to make sure I get it sealed properly for Maria. She needs her bike for her commute tomorrow.""}, {""speaker"": ""Other"", ""text"": ""Oh, that's right. She told me she got a flat on her way home yesterday. It's nice of you to fix it for her.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yeah, no problem. Just have to get this part seated back in the wheel correctly and then pump it up.""}]",What part of the bicycle is being fixed for Maria's commute?,"{""A"": ""The tire"", ""B"": ""The frame"", ""C"": ""The gears"", ""D"": ""The tube""}",D,round1
acbbb591-31b3-404b-9dd8-404c69b78756_2,a448297b-ae62-4712-bc4f-849b39176558,"Baseball; Car - commuting, road trip; Indoor Navigation (walking)",multimodal_grounded,QaEgo4D,"[{""speaker"": ""Other"", ""text"": ""You all done for the day?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yeah, just making sure this is properly secured.""}, {""speaker"": ""Other"", ""text"": ""Wait, isn't that Ben's spot? He was looking for his key earlier.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Oh, yeah, he let me borrow it for the afternoon. I'll leave the key at the front desk for him.""}]",What is the object referred to in the dialogue as 'Ben's spot'?,"{""A"": ""The locker"", ""B"": ""The key"", ""C"": ""The front desk"", ""D"": ""The camera wearer's jacket""}",A,round1
bb688291-4551-4251-b980-941a6e40122e_32,bb688291-4551-4251-b980-941a6e40122e,"jobs related to construction/renovation company
(Director of work, tiler, plumber, Electrician, Handyman, etc)",contradictory,EgoPlan-Bench2,"[{""speaker"": ""Other"", ""text"": ""The garden is looking much tidier now. Are you almost done with the shrubbery?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yes, I'm just finishing up the last few branches with this electric weed whacker.""}, {""speaker"": ""Other"", ""text"": ""Make sure you check the plastic line spool once you stop; it sounded a bit thin.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Good catch. I'll finish this final pass on the driveway side and then I'll immediately start winding the new trimmer line into the spool.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to trim a shrub?","{""A"": ""Wind the trimmer line"", ""B"": ""Shake the tree"", ""C"": ""Put down hedge trimmer"", ""D"": ""Adjust the camera""}",C,round1
0ec7ce37-4050-4c4f-8f82-4596f2c78140_3,b3190c93-c6fc-4e3d-b6ca-41e7ea9fed3f,Daily hygiene; Playing board games; Practicing a musical instrument; Talking with family members,contradictory,QaEgo4D,"[{""speaker"": ""Camera Wearer"", ""text"": ""I just left the kitchen after talking to person X, and now I’m trying to find Y again. Speaker 2: Wait, didn’t you just come from the bathroom? You were gone for a while. Speaker 1: No, definitely the kitchen — I was playing with X right there near the stove, then walked around and started chatting with Y near the couch. Speaker 2: But you passed the bedroom door twice — I saw you stop and look inside both times.""}]",What room did person C most likely leave before talking to person Y?,"{""A"": ""kitchen"", ""B"": ""bathroom"", ""C"": ""bedroom"", ""D"": ""living room""}",D,round1
bfe64619-9bd6-43be-bae3-97f4c3dfd4ca_1,bfe64619-9bd6-43be-bae3-97f4c3dfd4ca,"Clothes, other shopping; On a screen (phone/laptop); Reading books",multimodal_grounded,EgoPlan-Bench2,"[{""speaker"": ""Camera Wearer"", ""text"": ""I've got the laptop ready to go, but I need to make sure I have enough power for the meeting.""}, {""speaker"": ""Other"", ""text"": ""Good idea. There are two power sources near your desk: the power strip on the floor and the wall socket behind the monitor.""}, {""speaker"": ""Camera Wearer"", ""text"": ""I see them. Which one is better to use?""}, {""speaker"": ""Other"", ""text"": ""Use the wall socket behind the monitor. The power strip on the floor is faulty and might disconnect your device.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Got it, I'll stick with the wall socket behind the monitor then.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to prepare laptop for use?","{""A"": ""Align the charger cable with the wall socket behind the monitor."", ""B"": ""Insert the charger into the wall socket behind the monitor."", ""C"": ""Insert the charger into the power strip on the floor."", ""D"": ""Place the laptop on the table and connect it to the power strip on the floor.""}",B,round1
58826be7-c2eb-4389-9db6-d3985d130020_3,a5bd4711-275b-4bbf-96fe-37553e5d3e93,Camp setup/pack-up/chores,multimodal_grounded,QaEgo4D,"[{""speaker"": ""Other"", ""text"": ""Okay, are you ready with that thing?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yep, I've got it right here. Where do you want me to leave it?""}, {""speaker"": ""Other"", ""text"": ""See that large, flat stone just ahead of you? Just put it on the stone. It'll be easy to spot there.""}, {""speaker"": ""Camera Wearer"", ""text"": ""On the stone, got it. Hope the next group finds it without any trouble.""}]",What is the object that was intended to be easy for the next group to find?,"{""A"": ""A backpack"", ""B"": ""A box"", ""C"": ""A water bottle"", ""D"": ""A map""}",B,round1
