task,scenario,video_uid,video_category,sample_id,dialogue,question,options,correct_answer,start_sec,end_sec
EgoPlan-Bench2,video_grounded_ontopic,33d227dc-7739-42b3-84fd-9a063956e5b0,Work,33d227dc-7739-42b3-84fd-9a063956e5b0_21,"[{""speaker"": ""Camera Wearer"", ""text"": ""This one’s a bit heavier than the last piece.""}, {""speaker"": ""Other"", ""text"": ""Yeah, those thicker logs always feel awkward. Need a hand?""}, {""speaker"": ""Camera Wearer"", ""text"": ""I’m good, just getting it up here and carrying it over to the truck.""}, {""speaker"": ""Other"", ""text"": ""Nice, we’re making solid progress. Just take it steady on the walk over.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Will do. Once I get this loaded, I’ll grab the next one.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to remove wood from field? (A) place wood on shoulder (B) wipe hands (C) rest leg on wood (D) throw wood in truck","{""A"": ""place wood on shoulder"", ""B"": ""wipe hands"", ""C"": ""rest leg on wood"", ""D"": ""throw wood in truck""}",A,281.26666666666665,285.06666666666666
EgoPlan-Bench2,video_grounded_ontopic,68ffc552-5738-45e0-8515-8848ce66076b,Hobbies,68ffc552-5738-45e0-8515-8848ce66076b_139,"[{""speaker"": ""Camera Wearer"", ""text"": ""I’m double-checking the blueprint again before I glue this piece down. These little parts have to line up just right.""}, {""speaker"": ""Other"", ""text"": ""Yeah, it looks pretty detailed. Are you making progress, or are you still in the tricky fitting stage?""}, {""speaker"": ""Camera Wearer"", ""text"": ""A bit of both. I’ve got a couple of assemblies together now, but I keep comparing them to the plan so I don’t miss anything.""}, {""speaker"": ""Other"", ""text"": ""That makes sense. These wooden models always look simple until you start matching all the tiny pieces.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Exactly. I’m moving some of these wooden parts around and checking the next step so I can keep the mechanism aligned.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to assemble a wooden mechanical model? (A) rest second assembly on wooden mechanical model (B) put rectangular piece on cutting mat (C) pick blueprint with left hand (D) adjust knob on wood","{""A"": ""rest second assembly on wooden mechanical model"", ""B"": ""put rectangular piece on cutting mat"", ""C"": ""pick blueprint with left hand"", ""D"": ""adjust knob on wood""}",D,1259.0,1376.6333333333334
EgoPlan-Bench2,video_grounded_ontopic,eaac93da-6826-495e-a5c0-eb3a761b3ff1,Daily life,eaac93da-6826-495e-a5c0-eb3a761b3ff1_28,"[{""speaker"": ""Camera Wearer"", ""text"": ""I’m straightening out this cloth so it looks neat.""}, {""speaker"": ""Other"", ""text"": ""Nice, it’s always easier when you smooth everything out first.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yeah, once it’s even, it’s much easier to handle.""}, {""speaker"": ""Other"", ""text"": ""For sure. It already looks a lot more organized.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Just finishing it up here, then I can put it away.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to clean and tidy up the house? (A) put down bag (B) clean house with vacuum cleaner (C) make bed (D) fold cloth","{""A"": ""put down bag"", ""B"": ""clean house with vacuum cleaner"", ""C"": ""make bed"", ""D"": ""fold cloth""}",D,1367.7666666666667,1370.1333333333334
EgoPlan-Bench2,video_grounded_ontopic,6bdc7ecb-0d9c-461f-8f32-ee0fbbe47c49,Daily life,6bdc7ecb-0d9c-461f-8f32-ee0fbbe47c49_76,"[{""speaker"": ""Camera Wearer"", ""text"": ""I’m making lime juice now. I already squeezed a couple of limes, and I’m adding a bit of salt to each cup.""}, {""speaker"": ""Other"", ""text"": ""Nice, that sounds refreshing. Are you making enough for everyone?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yeah, I’m trying to get them all ready at the same time. I just need to top them up with a little water and mix it well.""}, {""speaker"": ""Other"", ""text"": ""That’s a good idea. The salt should help bring out the flavor too.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Exactly. Once I finish these cups, it should be ready to serve.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to make lime juice? (A) pick another cup of lime (B) take lime into squeezer (C) open lime squeezer (D) drop cup on chopping board","{""A"": ""pick another cup of lime"", ""B"": ""take lime into squeezer"", ""C"": ""open lime squeezer"", ""D"": ""drop cup on chopping board""}",D,1022.2666666666667,1048.5
EgoPlan-Bench2,video_grounded_ontopic,9adc0c59-1167-4311-abf3-7b57a0743b1d,Hobbies,9adc0c59-1167-4311-abf3-7b57a0743b1d_36,"[{""speaker"": ""Camera Wearer"", ""text"": ""I’ve got the dough in the pan now. It’s a little sticky, but I think it’s coming together.""}, {""speaker"": ""Other"", ""text"": ""Nice, that sounds good. Are you covering it up to let it rest for a bit?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yeah, I’m using this cloth so it doesn’t dry out. I just need to keep everything organized on the table.""}, {""speaker"": ""Other"", ""text"": ""Good idea. Baking always gets messy if you don’t stay on top of the pans and trays.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Exactly. I’m moving things around and checking the rack so I can make room for the next step.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to bake the dough? (A) pick cloth from under table (B) take down pan from top of oven (C) lean right hand on table (D) drop bake pan on rack","{""A"": ""pick cloth from under table"", ""B"": ""take down pan from top of oven"", ""C"": ""lean right hand on table"", ""D"": ""drop bake pan on rack""}",D,411.8666666666667,431.6
EgoPlan-Bench2,video_grounded_ontopic,6348261b-f486-4a1a-89bb-e4a6e3f058b7,Work,6348261b-f486-4a1a-89bb-e4a6e3f058b7_8,"[{""speaker"": ""Camera Wearer"", ""text"": ""These bricks are coming out pretty clean now.""}, {""speaker"": ""Other"", ""text"": ""Nice, looks like the cutter is working well. Are you stacking them as you go?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yeah, just lining them up here so I can keep the area organized.""}, {""speaker"": ""Other"", ""text"": ""Good call. Those gloves getting in the way at all?""}, {""speaker"": ""Camera Wearer"", ""text"": ""A little, I’m just adjusting things and clearing my hands before I keep going.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to dispose of cut bricks? (A) put brick on other bricks (B) throw brick (C) remove brick from brick cutter machine (D) pick glove","{""A"": ""put brick on other bricks"", ""B"": ""throw brick"", ""C"": ""remove brick from brick cutter machine"", ""D"": ""pick glove""}",A,457.6333333333333,465.2
EgoPlan-Bench2,video_grounded_ontopic,a774ee38-7f06-4733-8b76-1fb07f95dcf4,Daily life,a774ee38-7f06-4733-8b76-1fb07f95dcf4_12,"[{""speaker"": ""Camera Wearer"", ""text"": ""I’m getting this load ready now. I always turn shirts inside out before washing them.""}, {""speaker"": ""Other"", ""text"": ""Yeah, that helps protect the fabric. Are you sorting everything by color too?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Pretty much. I’ve got the clothes in the basket, and I’m putting them in one by one.""}, {""speaker"": ""Other"", ""text"": ""Nice. Don’t forget the detergent—this machine usually needs just a little.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yep, I’ve got it right here. Once I add this, I can start the wash.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to do laundry and hang clothes? (A) set washing machine (B) return container into cupboard (C) put cloth on washing machine (D) turn cloth inside out","{""A"": ""set washing machine"", ""B"": ""return container into cupboard"", ""C"": ""put cloth on washing machine"", ""D"": ""turn cloth inside out""}",B,4.5,81.7
EgoPlan-Bench2,video_grounded_ontopic,d11d10a3-63b0-40fa-8d67-d432abab01b9,Recreation,d11d10a3-63b0-40fa-8d67-d432abab01b9_1,"[{""speaker"": ""Camera Wearer"", ""text"": ""Okay, I’ve got my cards and tokens sorted out now. This round is getting a little messy.""}, {""speaker"": ""Other"", ""text"": ""Yeah, everyone keeps shuffling things around. Are you trying to line up your hand before you pick anything?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Pretty much. I’m just rearranging these cards so I can see what I’ve got.""}, {""speaker"": ""Other"", ""text"": ""Nice. The phone’s out too, so I guess someone’s keeping track of the score or rules.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Exactly. Let me adjust this one here, and then I’ll be ready for the next move.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to play the game? (A) throw role token on table (B) spread cards (C) move card (D) drop role token into box","{""A"": ""throw role token on table"", ""B"": ""spread cards"", ""C"": ""move card"", ""D"": ""drop role token into box""}",C,870.2666666666667,883.1
EgoPlan-Bench2,video_grounded_ontopic,56830730-4e9c-4928-ba0b-6ca75f57231d,Hobbies,56830730-4e9c-4928-ba0b-6ca75f57231d_31,"[{""speaker"": ""Camera Wearer"", ""text"": ""I’m looking over this sketch again. Something about the layout still feels off.""}, {""speaker"": ""Other"", ""text"": ""Yeah, I can see that. Are you trying to clean up the page before you keep going?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Pretty much. I’m moving a few things out of the way so I can focus on the drawing better.""}, {""speaker"": ""Other"", ""text"": ""Makes sense. Once the space is clear, it’s easier to decide what to add next.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Exactly. I’m ready to get back to it now and make the lines a little cleaner.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to paint a sketch? (A) push pens (B) scrub hand (C) pick up pen (D) turn book","{""A"": ""push pens"", ""B"": ""scrub hand"", ""C"": ""pick up pen"", ""D"": ""turn book""}",A,810.3333333333334,817.8
EgoPlan-Bench2,video_grounded_ontopic,27b7edc0-0b05-4a4a-9dd0-893ba585faf8,Hobbies,27b7edc0-0b05-4a4a-9dd0-893ba585faf8_12,"[{""speaker"": ""Camera Wearer"", ""text"": ""I found the tape measure, but I’m still sorting out where this poster should go.""}, {""speaker"": ""Other"", ""text"": ""Nice, at least that part’s handled. Are you lining it up on the table first?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yeah, I’m flattening it out and checking the edges. I also moved the book out of the way so I’ve got more space.""}, {""speaker"": ""Other"", ""text"": ""Good call. It’ll be easier to judge everything if the surface is clear.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Exactly. Now I’m checking the wall and getting ready to see how it all fits.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to set up poster on table and measure wall? (A) search under bookshelf (B) place poster on table (C) find tape measure (D) take measurements of wall","{""A"": ""search under bookshelf"", ""B"": ""place poster on table"", ""C"": ""find tape measure"", ""D"": ""take measurements of wall""}",D,270.1,441.46666666666664
