task,scenario,video_uid,video_category,sample_id,dialogue,question,options,correct_answer,start_sec,end_sec
EgoPlan-Bench2,video_grounded_offtopic,33d227dc-7739-42b3-84fd-9a063956e5b0,Work,33d227dc-7739-42b3-84fd-9a063956e5b0_21,"[{""speaker"": ""Speaker 1"", ""text"": ""Come on, this haunted house tour is gonna be epic. Everyone's doing it.""}, {""speaker"": ""Speaker 2"", ""text"": ""I don't know, man. Those reviews said it's legit scary.""}, {""speaker"": ""Speaker 1"", ""text"": ""That's the point! Live a little. First one's on me.""}, {""speaker"": ""Speaker 2"", ""text"": ""Fine, but if I hear one chainsaw, I'm bolting.""}, {""speaker"": ""Speaker 1"", ""text"": ""Deal. Look, the door's creaking open already—let's go!""}, {""speaker"": ""Speaker 2"", ""text"": ""i'm out. nope, nope, nope.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to remove wood from field? (A) place wood on shoulder (B) wipe hands (C) rest leg on wood (D) throw wood in truck","{""A"": ""place wood on shoulder"", ""B"": ""wipe hands"", ""C"": ""rest leg on wood"", ""D"": ""throw wood in truck""}",A,281.26666666666665,285.06666666666666
EgoPlan-Bench2,video_grounded_offtopic,68ffc552-5738-45e0-8515-8848ce66076b,Hobbies,68ffc552-5738-45e0-8515-8848ce66076b_139,"[{""speaker"": ""Speaker 1"", ""text"": ""Hey, you look beat. Rough shift today?""}, {""speaker"": ""Speaker 2"", ""text"": ""You have no idea. It's non-stop in there.""}, {""speaker"": ""Speaker 1"", ""text"": ""Want me to cover for you out here for a bit?""}, {""speaker"": ""Speaker 2"", ""text"": ""Nah, I just stepped out for some air. Give me two more minutes.""}, {""speaker"": ""Speaker 1"", ""text"": ""yeah, well, we need your help back in the store.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to assemble a wooden mechanical model? (A) rest second assembly on wooden mechanical model (B) put rectangular piece on cutting mat (C) pick blueprint with left hand (D) adjust knob on wood","{""A"": ""rest second assembly on wooden mechanical model"", ""B"": ""put rectangular piece on cutting mat"", ""C"": ""pick blueprint with left hand"", ""D"": ""adjust knob on wood""}",D,1259.0,1376.6333333333334
EgoPlan-Bench2,video_grounded_offtopic,eaac93da-6826-495e-a5c0-eb3a761b3ff1,Daily life,eaac93da-6826-495e-a5c0-eb3a761b3ff1_28,"[{""speaker"": ""Speaker 1"", ""text"": ""I'm heading into that room to grab my jacket. I left it there earlier.""}, {""speaker"": ""Speaker 2"", ""text"": ""Hold up, that's my roommate's private space. You shouldn't go poking around.""}, {""speaker"": ""Speaker 1"", ""text"": ""It's no big deal. It'll take two seconds.""}, {""speaker"": ""Speaker 2"", ""text"": ""Dude, respect boundaries. Just wait out here.""}, {""speaker"": ""Speaker 1"", ""text"": ""Fine, but...""}, {""speaker"": ""Speaker 2"", ""text"": ""Whatever. You can't go in there.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to clean and tidy up the house? (A) put down bag (B) clean house with vacuum cleaner (C) make bed (D) fold cloth","{""A"": ""put down bag"", ""B"": ""clean house with vacuum cleaner"", ""C"": ""make bed"", ""D"": ""fold cloth""}",D,1367.7666666666667,1370.1333333333334
EgoPlan-Bench2,video_grounded_offtopic,6bdc7ecb-0d9c-461f-8f32-ee0fbbe47c49,Daily life,6bdc7ecb-0d9c-461f-8f32-ee0fbbe47c49_76,"[{""speaker"": ""Speaker 1"", ""text"": ""How much does this shirt cost?""}, {""speaker"": ""Speaker 2"", ""text"": ""The regular price is $25.""}, {""speaker"": ""Speaker 1"", ""text"": ""Any sales or discounts going on?""}, {""speaker"": ""Speaker 2"", ""text"": ""Not really a sale, but we have coupons available.""}, {""speaker"": ""Speaker 1"", ""text"": ""Oh yeah? How much would that save me?""}, {""speaker"": ""Speaker 2"", ""text"": ""with coupons, you save $12.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to make lime juice? (A) pick another cup of lime (B) take lime into squeezer (C) open lime squeezer (D) drop cup on chopping board","{""A"": ""pick another cup of lime"", ""B"": ""take lime into squeezer"", ""C"": ""open lime squeezer"", ""D"": ""drop cup on chopping board""}",D,1022.2666666666667,1048.5
EgoPlan-Bench2,video_grounded_offtopic,9adc0c59-1167-4311-abf3-7b57a0743b1d,Hobbies,9adc0c59-1167-4311-abf3-7b57a0743b1d_36,"[{""speaker"": ""Speaker 1"", ""text"": ""Hey, how'd that doctor's visit go yesterday?""}, {""speaker"": ""Speaker 2"", ""text"": ""Not the best news.""}, {""speaker"": ""Speaker 1"", ""text"": ""What do you mean? Everything okay?""}, {""speaker"": ""Speaker 2"", ""text"": ""My blood tests came back off.""}, {""speaker"": ""Speaker 1"", ""text"": ""Like how?""}, {""speaker"": ""Speaker 2"", ""text"": ""i'm prediabetic.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to bake the dough? (A) pick cloth from under table (B) take down pan from top of oven (C) lean right hand on table (D) drop bake pan on rack","{""A"": ""pick cloth from under table"", ""B"": ""take down pan from top of oven"", ""C"": ""lean right hand on table"", ""D"": ""drop bake pan on rack""}",D,411.8666666666667,431.6
EgoPlan-Bench2,video_grounded_offtopic,6348261b-f486-4a1a-89bb-e4a6e3f058b7,Work,6348261b-f486-4a1a-89bb-e4a6e3f058b7_8,"[{""speaker"": ""Speaker 1"", ""text"": ""Hey, can you cover for me at work tonight? I've got this family thing.""}, {""speaker"": ""Speaker 2"", ""text"": ""Sorry, I'm already pulling a double shift tomorrow.""}, {""speaker"": ""Speaker 1"", ""text"": ""Come on, please? You're my only hope here.""}, {""speaker"": ""Speaker 2"", ""text"": ""I can't do it this time.""}, {""speaker"": ""Speaker 1"", ""text"": ""What am I supposed to do then?""}, {""speaker"": ""Speaker 2"", ""text"": ""so you're gonna have to find someone yourself to cover.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to dispose of cut bricks? (A) put brick on other bricks (B) throw brick (C) remove brick from brick cutter machine (D) pick glove","{""A"": ""put brick on other bricks"", ""B"": ""throw brick"", ""C"": ""remove brick from brick cutter machine"", ""D"": ""pick glove""}",A,457.6333333333333,465.2
EgoPlan-Bench2,video_grounded_offtopic,a774ee38-7f06-4733-8b76-1fb07f95dcf4,Daily life,a774ee38-7f06-4733-8b76-1fb07f95dcf4_12,"[{""speaker"": ""Speaker 1"", ""text"": ""Man, it's been slow all night. Nobody's come in for the last hour.""}, {""speaker"": ""Speaker 2"", ""text"": ""Yeah, I know. Feels like we could just lock up now.""}, {""speaker"": ""Speaker 1"", ""text"": ""Right? Let's call it a night early.""}, {""speaker"": ""Speaker 2"", ""text"": ""well, we're supposed to stay open till 11:00.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to do laundry and hang clothes? (A) set washing machine (B) return container into cupboard (C) put cloth on washing machine (D) turn cloth inside out","{""A"": ""set washing machine"", ""B"": ""return container into cupboard"", ""C"": ""put cloth on washing machine"", ""D"": ""turn cloth inside out""}",B,4.5,81.7
EgoPlan-Bench2,video_grounded_offtopic,d11d10a3-63b0-40fa-8d67-d432abab01b9,Recreation,d11d10a3-63b0-40fa-8d67-d432abab01b9_1,"[{""speaker"": ""Speaker 1"", ""text"": ""Hey, did you get that subpoena I forwarded from Carol's attorney last week?""}, {""speaker"": ""Speaker 2"", ""text"": ""Yeah, but I figured it was just routine paperwork. Why, what's up?""}, {""speaker"": ""Speaker 1"", ""text"": ""It's not routine. They scheduled it fast.""}, {""speaker"": ""Speaker 2"", ""text"": ""Scheduled what? Spill it.""}, {""speaker"": ""Speaker 1"", ""text"": ""You're gonna be deposed by Carol's lawyer today.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to play the game? (A) throw role token on table (B) spread cards (C) move card (D) drop role token into box","{""A"": ""throw role token on table"", ""B"": ""spread cards"", ""C"": ""move card"", ""D"": ""drop role token into box""}",C,870.2666666666667,883.1
EgoPlan-Bench2,video_grounded_offtopic,56830730-4e9c-4928-ba0b-6ca75f57231d,Hobbies,56830730-4e9c-4928-ba0b-6ca75f57231d_31,"[{""speaker"": ""Speaker 1"", ""text"": ""I've got this date tonight with Lisa, and things might get serious.""}, {""speaker"": ""Speaker 2"", ""text"": ""Awesome, man. You nervous?""}, {""speaker"": ""Speaker 1"", ""text"": ""A little. She straight-up said she's self-conscious and wants the lights off.""}, {""speaker"": ""Speaker 2"", ""text"": ""That's common. Don't push it.""}, {""speaker"": ""Speaker 1"", ""text"": ""But what if I want to see her?""}, {""speaker"": ""Speaker 2"", ""text"": ""so be a gentleman. go with the lights out.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to paint a sketch? (A) push pens (B) scrub hand (C) pick up pen (D) turn book","{""A"": ""push pens"", ""B"": ""scrub hand"", ""C"": ""pick up pen"", ""D"": ""turn book""}",A,810.3333333333334,817.8
EgoPlan-Bench2,video_grounded_offtopic,27b7edc0-0b05-4a4a-9dd0-893ba585faf8,Hobbies,27b7edc0-0b05-4a4a-9dd0-893ba585faf8_12,"[{""speaker"": ""Speaker 1"", ""text"": ""Did you hear Janet's been acting weird all day?""}, {""speaker"": ""Speaker 2"", ""text"": ""Yeah, Amy here. What do you think's up?""}, {""speaker"": ""Speaker 1"", ""text"": ""Probably because we peeked at her phone earlier.""}, {""speaker"": ""Speaker 2"", ""text"": ""Oh no, you think she knows?""}, {""speaker"": ""Speaker 1"", ""text"": ""hey, amy, uh, janet is gonna say that we invaded her privacy.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to set up poster on table and measure wall? (A) search under bookshelf (B) place poster on table (C) find tape measure (D) take measurements of wall","{""A"": ""search under bookshelf"", ""B"": ""place poster on table"", ""C"": ""find tape measure"", ""D"": ""take measurements of wall""}",D,270.1,441.46666666666664
